Virtualization Type,Threads,Block Size (KB),Operation,Access Pattern,Total Operations,Throughput (MiB/sec),Efficiency
vm,1,1,Read,Random,16195557,15815.97,
vm,2,1,Read,Random,28529762,27861.10,
vm,4,1,Read,Random,35254908,34428.62,
vm,8,1,Read,Random,35135477,34311.99,
vm,16,1,Read,Random,36230580,35381.43,
vm,32,1,Read,Random,34100233,33301.01,
vm,64,1,Read,Random,33734314,32943.67,
